0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/images/avatar/5.jpg HTTP/1.1" 200 5826
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/images/logo2.png HTTP/1.1" 200 4327
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/mods/index.js?v=2.0.0 HTTP/1.1" 200 14144
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/layui/lay/modules/layer.js?v=2.0.0 HTTP/1.1" 200 21615
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/layui/lay/modules/jquery.js?v=2.0.0 HTTP/1.1" 200 97640
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/layui/css/modules/layer/default/layer.css?v=3.0.3303 HTTP/1.1" 200 14560
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/layui/lay/modules/laytpl.js?v=2.0.0 HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/layui/lay/modules/form.js?v=2.0.0 HTTP/1.1" 200 6930
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/layui/lay/modules/upload.js?v=2.0.0 HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/layui/lay/modules/util.js?v=2.0.0 HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/mods/face.js?v=2.0.0 HTTP/1.1" 200 6363
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/layui/font/iconfont.woff?v=1.0.9 HTTP/1.1" 200 28712
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:02 +0800] "GET /yklgbbs/jsp/login.jsp HTTP/1.1" 200 8402
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:02 +0800] "GET /yklgbbs/res/mods/user.js?v=2.0.0 HTTP/1.1" 200 8627
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:02 +0800] "GET /yklgbbs/res/layui/lay/modules/laypage.js?v=2.0.0 HTTP/1.1" 200 4296
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:03 +0800] "GET /yklgbbs/res/layui/lay/modules/element.js?v=2.0.0 HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:04 +0800] "GET /yklgbbs/checkCodeServlet.do HTTP/1.1" 200 4170
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:11 +0800] "POST /yklgbbs/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:11 +0800] "GET /yklgbbs/jsp/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:11 +0800] "GET /yklgbbs/goIndex/all HTTP/1.1" 200 49638
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:13 +0800] "GET /yklgbbs/signServlet.do HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:15 +0800] "GET /yklgbbs/jsp/user/center.jsp HTTP/1.1" 200 10058
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:15 +0800] "GET /yklgbbs/res/js/jquery-2.1.4.min.js HTTP/1.1" 200 84380
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:15 +0800] "GET /yklgbbs/res/css/mricode.pagination.css HTTP/1.1" 200 3931
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:15 +0800] "GET /yklgbbs/res/js/mricode.pagination.js HTTP/1.1" 200 22340
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:15 +0800] "GET /yklgbbs//ajaxUserCenter.do?req=myTopic&pageIndex=0&pageSize=10&_=1521382035122 HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:15 +0800] "GET /yklgbbs//ajaxUserCenter.do?req=myCollect&pageIndex=0&pageSize=10&_=1521382035123 HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:16 +0800] "GET /yklgbbs/home/6 HTTP/1.1" 200 7081
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:16 +0800] "GET /yklgbbs/res/util/transformContent.js HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:16 +0800] "GET /yklgbbs/res/config/config.js HTTP/1.1" 200 10866
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:16 +0800] "GET /yklgbbs/home/6 HTTP/1.1" 200 7081
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:18 +0800] "GET /yklgbbs/goIndex/all HTTP/1.1" 200 49637
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:24 +0800] "GET /yklgbbs/topicDetail.do?topicid=50 HTTP/1.1" 200 41273
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:24 +0800] "GET /yklgbbs/images/94d48d2c-8b8d-4ffa-862a-74800a6841d3%E6%B5%A9%E7%80%9A%E6%98%9F%E7%A9%BA.png HTTP/1.1" 404 1176
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:24 +0800] "POST /yklgbbs/getCommentListServlet.do HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:24 +0800] "GET /yklgbbs/res/mods/jie.js?v=2.0.0 HTTP/1.1" 200 5935
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:24 +0800] "GET /yklgbbs/images/989a1588-8b02-448d-aab4-f1fbbab0baf8%E6%B5%A9%E7%80%9A%E6%98%9F%E7%A9%BA.png HTTP/1.1" 404 1176
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:25 +0800] "GET /yklgbbs/editTopicServlet.do?topicid=50 HTTP/1.1" 200 5164
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:27 +0800] "POST /yklgbbs//editTopicSubmitServlet.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:27 +0800] "GET /yklgbbs/topicDetail.do?topicid=50 HTTP/1.1" 200 41273
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:27 +0800] "GET /yklgbbs/images/94d48d2c-8b8d-4ffa-862a-74800a6841d3%E6%B5%A9%E7%80%9A%E6%98%9F%E7%A9%BA.png HTTP/1.1" 404 1176
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:27 +0800] "POST /yklgbbs/getCommentListServlet.do HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:27 +0800] "GET /yklgbbs/images/989a1588-8b02-448d-aab4-f1fbbab0baf8%E6%B5%A9%E7%80%9A%E6%98%9F%E7%A9%BA.png HTTP/1.1" 404 1176
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:35 +0800] "GET /yklgbbs/editTopicServlet.do?topicid=50 HTTP/1.1" 200 5164
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:42 +0800] "POST /yklgbbs//editTopicSubmitServlet.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:43 +0800] "GET /yklgbbs/topicDetail.do?topicid=50 HTTP/1.1" 200 41292
